Song Name,Artist,Length,BPM,Level to Unlock,Difficulty – Easy,Difficulty – Hard,Difficulty – Master,Pack,Track Number,Track Total,Song filename,Art link
INFiNiTE ENERZY -Overdoze- ,Reku Mochizuki ,1:52 ,180,,4,7,9,Happy Otaku Pack Vol. 8,3,6,infinite_enerzy_overdoze,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/02/Infinite.png/revision/latest?cb=20200121111737
One Way Street ,siqlo ,2:20 ,150,,3,6,10,Happy Otaku Pack Vol. 8,4,6,one_way_street,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cc/OneWay.PNG/revision/latest?cb=20200121110429
This Club is Not 4 U ,EmoCo. ,2:12 ,160,,4,7,9,Happy Otaku Pack Vol. 8,5,6,this_club_is_not_4_u,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/9/98/Not4U.png/revision/latest?cb=20200121110817
ULTRA MEGA HAPPY PARTY!!! ,Hino Isuka ,2:11 ,205,,5,7,10,Happy Otaku Pack Vol. 8,6,6,ultra_mega_happy_party,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/23/Happy.png/revision/latest?cb=20200121111106
Glimmer feat.祈Inory ,kors k ,1:34 ,146,15,2,5,8,Budget Is Burning: Nano Core,1,4,glimmer,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c5/Glimmer.png/revision/latest?cb=20200121111139
EXIST feat.米雅 ,G.K & Haloweak ,2:14 ,165,15,3,5,8,Budget Is Burning: Nano Core,2,4,exist,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/52/Exist.png/revision/latest?cb=20200121111226
Irreplaceable feat.夏铜子,Haloweak ,1:27 ,175,15,4,6,8,Budget Is Burning: Nano Core,3,4,irreplaceable,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/42/Irreplaceable.png/revision/latest?cb=20200121111302
Irreplaceable feat.AKINO with bless4,Haloweak ,,,,,,,Budget Is Burning: Nano Core,4,4,irreplaceable_music2,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/42/Irreplaceable.png/revision/latest?cb=20200121111302
The NightScape ,litmus* ,2:04 ,130,,4,7,9,Give Up TREATMENT Vol. 8,1,6,the_nightscape,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/f1/The_Nightscape.png/revision/latest?cb=20200228151903
FREEDOM DiVE↓ ,xi ,2:16 ,222.22,,6,8,10,Give Up TREATMENT Vol. 8,2,6,freedom_dive,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/bf/Freedom_Dive.png/revision/latest?cb=20200228152328
